=== Task: binary_addition ===
architecture	PE	using_stack	learning_rate	accuracy
Stack_RNN	NONE	False	0.001	0.7581641818583011
Stack_RNN	NONE	False	0.0005	0.7676286242902279
Stack_RNN	NONE	False	0.0001	0.7326725508272648
Stack_RNN	NONE	False	5e-05	0.6735426558554173
Transformer	NONE	False	0.001	0.6169668897986412
Transformer	NONE	False	0.0005	0.6169623999297619
Transformer	NONE	False	0.0001	0.6169668897986412
Transformer	NONE	False	5e-05	0.6169668897986412
Transformer	ALIBI	False	0.001	0.7688583409786225
Transformer	ALIBI	False	0.0005	0.7681856851279736
Transformer	ALIBI	False	0.0001	0.7528305555880069
Transformer	ALIBI	False	5e-05	0.7447254532575607
Transformer	NONE	True	0.001	0.7693381388485432
Transformer	NONE	True	0.0005	0.7977074198424816
Transformer	NONE	True	0.0001	0.7650484798848629
Transformer	NONE	True	5e-05	0.7094850064814091
Transformer	ALIBI	True	0.001	0.7265202081203461
Transformer	ALIBI	True	0.0005	0.7523385606706142
Transformer	ALIBI	True	0.0001	0.7414108321070672
Transformer	ALIBI	True	5e-05	0.7304525797069072

=== Task: binary_multiplication ===
architecture	PE	using_stack	learning_rate	accuracy
Stack_RNN	NONE	False	0.001	0.6509642201662064
Stack_RNN	NONE	False	0.0005	0.6384864256531
Stack_RNN	NONE	False	0.0001	0.6135045183449983
Stack_RNN	NONE	False	5e-05	0.5812066684663296
Transformer	NONE	False	0.001	0.5197940807789564
Transformer	NONE	False	0.0005	0.5191181430220604
Transformer	NONE	False	0.0001	0.5192680641263724
Transformer	NONE	False	5e-05	0.5189962620288133
Transformer	ALIBI	False	0.001	0.6610811318457127
Transformer	ALIBI	False	0.0005	0.664969427138567
Transformer	ALIBI	False	0.0001	0.6432525982707739
Transformer	ALIBI	False	5e-05	0.6125732601433992
Transformer	NONE	True	0.001	0.6462059104442597
Transformer	NONE	True	0.0005	0.665431641638279
Transformer	NONE	True	0.0001	0.6259279453754425
Transformer	NONE	True	5e-05	0.6135738759487868
Transformer	ALIBI	True	0.001	0.6531285336613655
Transformer	ALIBI	True	0.0005	0.6634411535412074
Transformer	ALIBI	True	0.0001	0.647777912914753
Transformer	ALIBI	True	5e-05	0.631763710603118

=== Task: bucket_sort ===
architecture	PE	using_stack	learning_rate	accuracy
Stack_RNN	NONE	False	0.001	0.9845800374448299
Stack_RNN	NONE	False	0.0005	0.9737590150535107
Stack_RNN	NONE	False	0.0001	0.9673216640949249
Stack_RNN	NONE	False	5e-05	0.950410523712635
Transformer	NONE	False	0.001	0.2930063340812922
Transformer	NONE	False	0.0005	0.2941134098172188
Transformer	NONE	False	0.0001	0.2939748429507017
Transformer	NONE	False	5e-05	0.2936494163423777
Transformer	ALIBI	False	0.001	0.8762059216946363
Transformer	ALIBI	False	0.0005	0.8730442755669355
Transformer	ALIBI	False	0.0001	0.8401905108243227
Transformer	ALIBI	False	5e-05	0.8458030565828085
Transformer	NONE	True	0.001	0.9629082384705544
Transformer	NONE	True	0.0005	0.9799190878868103
Transformer	NONE	True	0.0001	0.9883384476602077
Transformer	NONE	True	5e-05	0.9804888454079628
Transformer	ALIBI	True	0.001	0.888597481250763
Transformer	ALIBI	True	0.0005	0.8760127985477447
Transformer	ALIBI	True	0.0001	0.9307848116755486
Transformer	ALIBI	True	5e-05	0.933875221312046

=== Task: compute_sqrt ===
architecture	PE	using_stack	learning_rate	accuracy
Stack_RNN	NONE	False	0.001	0.7488844741880893
Stack_RNN	NONE	False	0.0005	0.744423334300518
Stack_RNN	NONE	False	0.0001	0.7157018767297267
Stack_RNN	NONE	False	5e-05	0.689841817766428
Transformer	NONE	False	0.001	0.5382186748832464
Transformer	NONE	False	0.0005	0.5359842030704022
Transformer	NONE	False	0.0001	0.5407573348283767
Transformer	NONE	False	5e-05	0.5414598663896322
Transformer	ALIBI	False	0.001	0.5581203857064247
Transformer	ALIBI	False	0.0005	0.6570255591720343
Transformer	ALIBI	False	0.0001	0.6544575990736484
Transformer	ALIBI	False	5e-05	0.6455205984413623
Transformer	NONE	True	0.001	0.5480892345309257
Transformer	NONE	True	0.0005	0.5631946399062872
Transformer	NONE	True	0.0001	0.67469781473279
Transformer	NONE	True	5e-05	0.6567990203946829
Transformer	ALIBI	True	0.001	0.5382186748832464
Transformer	ALIBI	True	0.0005	0.6300784899294376
Transformer	ALIBI	True	0.0001	0.6624044928699732
Transformer	ALIBI	True	5e-05	0.6492485624551773

=== Task: duplicate_string ===
architecture	PE	using_stack	learning_rate	accuracy
Stack_RNN	NONE	False	0.001	0.39972551830112935
Stack_RNN	NONE	False	0.0005	0.3754143579304218
Stack_RNN	NONE	False	0.0001	0.3872215050458908
Stack_RNN	NONE	False	5e-05	0.3729467538744211
Transformer	NONE	False	0.001	0.29392100397497417
Transformer	NONE	False	0.0005	0.29374513812363146
Transformer	NONE	False	0.0001	0.29371334351599215
Transformer	NONE	False	5e-05	0.29382224049419164
Transformer	ALIBI	False	0.001	0.551866746135056
Transformer	ALIBI	False	0.0005	0.5549872924759984
Transformer	ALIBI	False	0.0001	0.5566094907745719
Transformer	ALIBI	False	5e-05	0.5534857413545251
Transformer	ALIBI	True	0.001	0.5450319391489029
Transformer	ALIBI	True	0.0005	0.5580039263144135
Transformer	ALIBI	True	0.0001	0.5665185735002161
Transformer	ALIBI	True	5e-05	0.5765798101574182

=== Task: missing_duplicate_string ===
architecture	PE	using_stack	learning_rate	accuracy
Stack_RNN	NONE	False	0.001	0.871953125
Stack_RNN	NONE	False	0.0005	0.864921875
Stack_RNN	NONE	False	0.0001	0.839921875
Stack_RNN	NONE	False	5e-05	0.819765625
Transformer	NONE	False	0.001	0.4984375
Transformer	NONE	False	0.0005	0.505859375
Transformer	NONE	False	0.0001	0.723125
Transformer	NONE	False	5e-05	0.74953125
Transformer	ALIBI	False	0.001	0.523046875
Transformer	ALIBI	False	0.0005	0.831796875
Transformer	ALIBI	False	0.0001	0.83484375
Transformer	ALIBI	False	5e-05	0.83609375
Transformer	NONE	True	0.001	0.51859375
Transformer	NONE	True	0.0005	0.835625
Transformer	NONE	True	0.0001	0.94234375
Transformer	NONE	True	5e-05	0.8625
Transformer	ALIBI	True	0.001	0.49890625
Transformer	ALIBI	True	0.0005	0.86171875
Transformer	ALIBI	True	0.0001	0.84578125
Transformer	ALIBI	True	5e-05	0.85578125

=== Task: odds_first ===
architecture	PE	using_stack	learning_rate	accuracy
Stack_RNN	NONE	False	0.001	0.479195686429739
Stack_RNN	NONE	False	0.0005	0.4593387383595109
Stack_RNN	NONE	False	0.0001	0.43072784278541804
Stack_RNN	NONE	False	5e-05	0.4021866361051798
Transformer	NONE	False	0.001	0.2942930497229099
Transformer	NONE	False	0.0005	0.2939606174454093
Transformer	NONE	False	0.0001	0.29375945404171944
Transformer	NONE	False	5e-05	0.29384661119431255
